ID KODE NAMA JENIS_PETAK WARNA
1 GO Petak_Mulai go DEFAULT
2 DNU1 Dana_Umum COMMUNITY DEFAULT
3 PPH1 Pajak_Penghasilan PAJAK DEFAULT
4 FES1 Festival FESTIVAL DEFAULT
5 PEN Penjara jail DEFAULT
6 DNU2 Dana_Umum COMMUNITY DEFAULT
7 FES2 Festival FESTIVAL DEFAULT
8 KSP1 Kesempatan CHANCE DEFAULT
9 BBP Bebas_Parkir free_parking DEFAULT
10 DNU3 Dana_Umum COMMUNITY DEFAULT
11 FES3 Festival FESTIVAL DEFAULT
12 KSP2 Kesempatan CHANCE DEFAULT
13 PBM1 Pajak_Barang_Mewah TAX_PBM DEFAULT
14 PPJ Petak_Pergi_ke_Penjara go_to_jail DEFAULT
15 DNU4 Dana_Umum COMMUNITY DEFAULT
16 KSP3 Kesempatan CHANCE DEFAULT
17 PPH2 Pajak_Penghasilan PAJAK DEFAULT
18 KSP4 Kesempatan CHANCE DEFAULT
19 PBM2 Pajak_Barang_Mewah TAX_PBM DEFAULT
